Col,Row,Endpoint,Author,Start Age,End Age,Point Estimate,Population,Delta,Mean,Baseline,Percent of Baseline,Standard Deviation,Variance,Percentile 2.5,Percentile 97.5,Formatted Results [2 s.f.],Formatted Results [3 s.f.]
1,2,Mortality  All Cause,Hoek et al.,30,99,5.49351930618286,105450,16.0500583648682,5.48300409317017,57.9978103637695,9.45380020141602,0.614486873149872,0.377594113349915,4.20854520797729,6.70242595672607,"5.5
(4.2 to 6.7)","5.49
(4.21 to 6.70)"
1,12,Mortality  All Cause,Hoek et al.,30,99,18.3567657470703,359178,17.6809539794922,18.320592880249,176.80126953125,10.3622999191284,2.04289937019348,4.17343759536743,14.079740524292,22.3709030151367,"18
(14 to 22)","18.4
(14.1 to 22.4)"
1,4,Mortality  All Cause,Hoek et al.,30,99,21.8745403289795,536683,14.1886425018311,21.8340930938721,259.757873535156,8.40559959411621,2.46105289459229,6.05678081512451,16.7350902557373,26.7230758666992,"22
(17 to 27)","21.9
(16.7 to 26.7)"
1,3,Mortality  All Cause,Hoek et al.,30,99,12.3050308227539,262732,17.3588447570801,12.2809209823608,120.595481872559,10.1836004257202,1.37078857421875,1.87906134128571,9.43581104278564,14.9991798400879,"12
(9.4 to 15)","12.3
(9.44 to 15.0)"
1,9,Mortality  All Cause,Hoek et al.,30,99,32.3684692382813,647352,17.9014453887939,32.304443359375,308.120391845703,10.4843997955322,3.59976243972778,12.9582901000977,24.8307876586914,39.4405479431152,"32
(25 to 39)","32.4
(24.8 to 39.4)"
1,7,Mortality  All Cause,Hoek et al.,30,99,9.16879272460938,168129,15.4354343414307,9.15143871307373,100.465469360352,9.10900020599365,1.02755844593048,1.05587637424469,7.02098798751831,11.1912908554077,"9.2
(7.0 to 11)","9.17
(7.02 to 11.2)"
1,18,Mortality  All Cause,Hoek et al.,30,99,10.3371152877808,230959,14.3179473876953,10.3179550170898,121.69164276123,8.47879981994629,1.1625360250473,1.35149013996124,7.90914869308472,12.6272125244141,"10
(7.9 to 13)","10.3
(7.91 to 12.6)"
1,1,Mortality  All Cause,Hoek et al.,30,99,3.99628257751465,59257,16.0500583648682,3.98863315582275,42.1907348632813,9.45380020141602,0.447010904550552,0.199818760156631,3.06152319908142,4.8757061958313,"4.0
(3.1 to 4.9)","4.00
(3.06 to 4.88)"
1,13,Mortality  All Cause,Hoek et al.,30,99,27.5266914367676,850421,13.8723125457764,27.4761009216309,334.007385253906,8.22620010375977,3.10001564025879,9.61009693145752,21.0543746948242,33.6355094909668,"28
(21 to 34)","27.5
(21.1 to 33.6)"
1,6,Mortality  All Cause,Hoek et al.,30,99,5.65070724487305,106230,16.3025150299072,5.63984107971191,58.7786903381348,9.59500026702881,0.631571531295776,0.39888259768486,4.32976484298706,6.8929877281189,"5.7
(4.3 to 6.9)","5.65
(4.33 to 6.89)"
1,10,Mortality  All Cause,Hoek et al.,30,99,8.59996891021729,223955,14.9478321075439,8.58383750915527,97.1619033813477,8.8346004486084,0.965275883674622,0.931757569313049,6.58305931091309,10.5005769729614,"8.6
(6.6 to 11)","8.60
(6.58 to 10.5)"
